Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
UBA3				ubiquitin-activating enzyme
STR1	NIL			strictosidine synthase
ArAT1	NIL			aromatic amino acid transaminase
CYP710A2	AT2G34490	14542724	14544511	C-22 sterol desaturase
odc	NIL			ornithine decarboxylase
AT5G45940	AT5G45940	18646789	18647918	NAD++ diphosphatase
Ht1	NIL			flavonoid 3'-hydroxylase
ABA3	AT1G16540	5659408	5665442	molybdenum cofactor sulfurase//selenocysteine lyase
Pavir.1NG309700	Pavir.1NG309700			Pavir.1NG309700.1.p
UGT72B3	AT1G01420	154566	156011	UDP-glycosyltransferase
PPD3	AT1G76450			PsbP domain-containing protein 3
BSC	NIL			beta-selinene cyclase
AT5G06290	AT5G06290			peroxiredoxin
Lj4g0027534	Lj4g0027534			Lj4g0027534.1
afs	NIL			(E,E)-&alpha;-farnesene synthase
CER1	AT1G02205	418767	422438	fatty aldehyde decarbonylase
mdh6	NIL			NADP malate dehydrogenase
MLS	AT5G03860	1032102	1034569	malate synthase
4'OMT	NIL			6-O-methylnorlaudanosoline 4'-O-methyltransferase
AT3G59890	AT3G59890	22135175	22137607	dihydrodipicolinate reductase
Glyma.13G255800	Glyma.13G255800			Glyma.13G255800
FAE1	NIL			3-ketoacyl-CoA synthase
FLS1				flavonol synthase
HPPR	NIL			hydroxyphenylpyruvate reductase
CPS	AT4G02780	1237767	1244813	<i>ent</i>-copalyl diphosphate synthase
AT4G15130	AT4G15130	8637663	8639580	choline-phosphate cytidylyltransferase
DWF7	AT3G02580	546910	548800	&Delta;<sup>7</sup>-sterol-C5-desaturase
AT1G08510	AT1G08510	2691083	2694380	acyl-ACP thioesterase
<i>PPDBR</i>	NIL			phenylpropenal double-bond reductase
GolS-1	NIL			galactinol synthase / fagopyritol synthase
Zm00001d032961	Zm00001d032961	244858795	244867417	ent-copalyl diphosphate synthase
ACS2	AT1G01480	175782	178400	1-aminocyclopropane-1-carboxylate synthase
Glyma.19G187100	Glyma.19G187100			Glyma.19G187100
AT4G21470	AT4G21470	11431116	11433333	riboflavin kinase/FMN hydrolase
AT2G21170	AT2G21170	9077835	9080314	triose-phosphate isomerase
Lj3g0015818	Lj3g0015818			Lj3g0015818.1
BMCT	NIL			methyl halide transferase
psbZ		64763	64951	Photosystem II reaction center protein Z
ZCO	NIL			zeaxanthin cleavage dioxygenase
oxo1	NIL			oxalate oxidase monomer
APS3	AT4G14680	8413283	8415386	APS3
AA7BG-GT1	NIL			anthocyanin 7-<i>O</i>-(6-<i>O</i>-(p-hydroxybenzoyl)-glucoside) glucosyltransferase (acyl-glucose dependent)
CYP75B4	Os10g0317900			flavonoid 3'-hydroxylase/flavone 5'-hydroxylase
AT2G19570	AT2G19570	8477456	8478726	cytidine deaminase
AT1G57750	AT1G57750			midchain alkane hydroxylase
CYP707A3	AT5G45340	18385869	18388218	abscisic acid 9'-hydroxylase / abscisic acid 8'-hydroxylase
GA20ox	NIL			gibberellin 20-oxidase
hbgg	NIL			geranylgeranyl pyrophosphate synthase [multifunctional]
CYP93B2	NIL			flavone synthase II
PdUGT85A19				PdUGT85A19
JQ004402.1	NIL			Cynnamyl-alcohol dehydrogenase
UGT76G1	NIL			UDP glucosyltransferase 76G1
Glyma.19G187000	Glyma.19G187000			Glyma.19G187000
AT2G29690	AT2G29690	12700948	12704052	anthranilate synthase
SAD3	NIL			avenacin A glucosyltransferase
potato starch synthase I	NIL			starch synthase I
IPP2	AT3G02780	602440	604691	isopentenyl-diphosphate delta-isomerase
IMT-2	NIL			cytochrome P450 fatty acid hydroxylase
RsM2	NIL			triterpene synthase
CYP79A2	AT5G05260	1559779	1561766	L-phenylalanine <i>N</i>-monooxygenase
COMT1	NIL			caffeate 3-<i>O</i>-methyltransferase
Soltu.DM.06G013670	Soltu.DM.06G013670			Soltu.DM.06G013670.1 // Soltu.DM.06G013670.2
Lj3g0009649	Lj3g0009649			Lj3g0009649.1
AT1G07810	AT1G07810	2416262	2420754	calcium-transporting ATPase
SPDS2	AT1G70310	26488969	26491098	spermidine synthase
ABS				<i>cis</i>-abienol synthase
PAP2	NIL			purple acid phosphatase
GA2ox2	NIL			gibberellin 2-oxidase
NUOB10		1814385	1816305	190916
LOC_Os04g10060	LOC_Os04g10060	5408827	5413733	syn-pimara-7,15-diene synthase
Pavir.1KG339400	Pavir.1KG339400			Pavir.1KG339400.1.p
Glyma.19G029500	Glyma.19G029500			Glyma.19G029500
GA2ox1	NIL			gibberellin 2-oxidase
AT5G64300	AT5G64300	25735630	25738388	GTP cyclohydrolase II/3,4 dihydroxy-2-butanone-4-phosphate synthase
TyrDC	NIL			tyrosine decarboxylase
POP2	NIL			&gamma;-aminobutyrate transaminase
H6H	NIL			hyoscyamine 6beta-hydroxylase
AIG	NIL			acridone synthase
Bx6				2-oxoglutarate-dependent dioxygenase
XM_003570926	NIL			Cynnamyl-alcohol dehydrogenase
CYP90A1	AT5G05690	1702689	1706788	6-deoxocathasterone hydroxylase / cathasterone 23alpha-hydroxylase
adh	NIL			alcohol dehydrogenase
ALLASA1	NIL			methliin lyase / alliin lyase
AT1G06800	AT1G06800	2089416	2091685	triacylglycerol lipase
AT3G20330	AT3G20330	7090112	7092676	aspartate carbamoyltransferase
LOX4	AT1G72520	27312179	27316416	lipoxygenase
PLR_Tp1	NIL			PLR subunit
HCT1a	NIL			shikimate O-hydroxycinnamoyltransferase
LPE1				leaf permease
aga1	NIL			alkaline alpha-galactosidase
AKT1	AT2G26650			potassium channel
Glyma.16G176000	Glyma.16G176000			Glyma.16G176000
PSS	NIL			squalene synthase
CPN60B2		81176	88263	136288
OsNAS3	NIL			nicotianamine synthase
RLL2	NIL			lipoxygenase
CesA3	AT5G05170	1530175	1535415	UDP-glucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase
AtGHBDH	NIL			&gamma;-hydroxybutyrate dehydrogenase
Soltu.DM.07G021190	Soltu.DM.07G021190			Soltu.DM.07G021190.1
TSC10B	AT5G19200	6458955	6460858	3-ketodihydrosphinganine reductase
BEAT	NIL			acetyl-coenzyme A:acetyl alcohol acetyltransferase
PM2	NIL			(-)-limonene-3-hydroxylase
GA3ox1				gibberellin 2&beta;,3&beta;-hydroxylase
MROMT				matairesinol 4'-<i>O</i>-methyltransferase
SUS6	AT1G73370	27588140	27591987	sucrose synthase
PAA2				Cu transporting P-type ATPase
AT4G37150	AT4G37150	17492872	17494103	methylesterase
Cre12.g485050	Cre12.g485050			Cre12.g485050.t1.1
PPC3	AT3G14940	5025245	5029716	phosphoenolpyruvate carboxylase
AT1G14810	AT1G14810	5102419	5104690	aspartate-semialdehyde dehydrogenase
AT1G09240	AT1G09240	2984883	2986132	nicotianamine synthase
POMT-9	NIL			esculetin-O-methyltransferase (multi-functional)
Pavirv00050859m	NIL			Caffeic acid 3-O-methyltransferase
TDC1				taxadiene synthase
AT2G36390	AT2G36390	15271316	15277171	1,4-alpha-glucan branching enzyme
PSY	AT5G17230	5659576	5662867	phytoene synthase
AT3G14390	AT3G14390	4806732	4809440	diaminopimelate decarboxylase
AT4G29220	AT4G29220	14403353	14406598	6-phosphofructokinase
Soltu.DM.07G021370	Soltu.DM.07G021370			Soltu.DM.07G021370.1
LcLAR1	NIL			leucoanthocyanidin reductase
ACO4	NIL			aminocyclopropane-1-carboxylate oxidase
CYP80A1	NIL			berbamunine synthase
Zm00001d027367	Zm00001d027367	3807343	3810146	pyrimidine deaminase
AT3G48560	AT3G48560	18012297	18014566	pyruvate decarboxylase
ABA2	AT1G52340	19493463	19495317	xanthoxin dehydrogenase//alcohol dehydrogenase
Lj1g0022116	Lj1g0022116			Lj1g0022116.1
CJFS	NIL			(E)-beta-farnesene synthase
PM17	NIL			(-)-limonene-3-hydroxylase
SK2	AT4G39540	18378227	18380411	shikimate kinase
ISPD	NIL			ISPD
GolS2	AT1G56600	21211202	21213261	galactinol synthase
AT3BETAHSD/D1	AT1G47290	17338293	17341713	sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating)//3-beta-hydroxy-delta5-steroid dehydrogenase
UBC2				ubiquitin-conjugating enzyme E2
SPS1	AT1G78510	29540178	29542310	geranylgeranyl-diphosphate all-trans-nonaprenyl diphosphate synthase
FAD6				plastidial acyl-lipid &omega;-6 desaturase
NUOA8		652147	653510	59411
Lj4g0011175	Lj4g0011175			Lj4g0011175.1
UGT71G1	NIL			triterpene sapogenin UDP-glucosyltransferase
KAO1	NIL			ent-kaurenoate oxidase
ABA2	NIL			zeaxanthin epoxidase
SDP6	AT3G10370	3216373	3219275	glycerol-3-phosphate dehydrogenase
AT3G03100	AT3G03100	705406	707658	NADH-ubiquinone oxidoreductase B 17.2 kDa subunit
UGT76E11	AT3G46670	17203574	17205382	UDP-glycosyltransferase
SARD4	AT5G52810			1-piperideine-2-carboxylate reductase
GDH1	NIL			glutamate dehydrogenase
AT5G50210	AT5G50210	20459873	20463217	quinolinate synthetase A
PSBO		811622	814128	Oxygen-evolving enhancer protein 1
Glyma.07G183400	Glyma.07G183400			Glyma.07G183400
ATPvL1		2089742	2091378	134189
na1				(24R)-24-methylcholest-4-en-3-one 5alpha-reductase
HMA1				Cu-ATPase
3GT	NIL			UDP-glucose:cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucosyltransferase
AY422466	NIL			dihydroneopterin aldolase
Glyma.09G222800	Glyma.09G222800			Glyma.09G222800
CYP88D6	NIL			11alpha-hydroxy-beta-amyrin dehydrogenase [multifunctional]
ARG1	NIL			arginase
IFS-Tp	NIL			isoflavone synthase
HXK1	AT4G29130	14352043	14355109	hexokinase//glucokinase//fructokinase
psaJ		170456	170581	ChreCp061
pdk1 cytosol	Zm00001d038163	150024486	150035717	pyruvate, phosphate dikinase
SIR	AT5G04590	1319357	1322525	SIR
MASL2	NIL			oryzalexin A synthase
FPS	NIL			farnesyl diphosphate synthase
PGAM-i				cytoplasmic phosphoglycerate mutase
ACO3	AT2G05710			aconitase
PPXII	NIL			protoporphyrinogen IX oxidase isozyme II
STA7				isoamylase catalytic subunit
AT3G57610	AT3G57610	21345261	21347650	AdSS subunit
COX13		302170	304190	147109
Lj4g0022296	Lj4g0022296			Lj4g0022296.1
CTOMT1				catechol <i>O</i>-methyltransferase
AT5G39050	AT5G39050	15651815	15653293	transferase
SDH3-2	AT4G32210	15556520	15562076	complex II subunit 3
Lj3g0025912	Lj3g0025912			Lj3g0025912.1
AT1G24100	AT1G24100	8525424	8527076	UGT74B1
iaglu	NIL			IAA-glucose synthase
bio2	AT2G43360	18017828	18020315	biotin synthase
AT5G16970	AT5G16970	5576171	5578078	2-alkenal reductase
AT4G04930	AT4G04930	2509131	2511143	sphingolipid delta-4 desaturase
AT3G09260	AT3G09260	2840483	2843787	scopolin &beta;-glucosidase
GA3ox3	NIL			gibberellin 3-oxidase
AT3G51240	AT3G51240	19036243	19037918	naringenin 3-dioxygenase
UGT5	NIL			3-deoxyanthocyanidin 5-<i>O</i>-glucosyltransferase
PLD delta	AT4G35790	16955538	16960174	PLD delta
POP2	AT3G22200	7835155	7839068	4-aminobutyrate transaminase//adenosylmethionine-8-amino-7-oxononanoate transaminase
PSBQ		310276	312400	Oxygen-evolving enhancer protein 3
COXVb	AT1G80230.1	30174348	30175993	complex IV subunit 5b
DET2	AT2G38050	15928214	15929391	sterol 5-alpha reductase
HPPK/DHPS2	AT1G69190	26016675	26018497	hydroxymethyldihydropterin pyrophosphokinase/ dihydropteroate synthase
YUC1	AT4G32540	15700910	15702876	Yucca
LeFPS1	NIL			farnesyl diphosphate synthase
AtAAH	AT4G20070	10861465	10864706	allantoate amidohydrolase monomer
FRD1	AT1G01580	209395	213041	ferric-chelate reductase
AT5G11920	AT5G11920	3839392	3842372	levanase//inulinase//hydrolase, hydrolyzing O-glycosyl compounds
pNAD-MDH	AT3G47520	17524259	17526026	malate dehydrogenase
alt7		1306578	1314769	alanine transaminase
AtNSP5	AT5G48180			nitrile-specifier protein
THBO				(S)-cheilanthifoline oxidase [multifunctional]
ScOMT1	NIL			daphnetin 8-O-methyltransferase
FOMT2	NIL			flavonoid 7-<i>O</i>-methyltransferase
AT2G42070	AT2G42070	17556169	17558253	FAD diphosphatase
GSA1	AT5G63570	25469101	25471067	glutamate-1-semialdehyde 2,1-aminomutase
AT3G61580	AT3G61580	22797022	22798947	sphingolipid delta-4 desaturase
Zm00001d011890	Zm00001d011890	164045195	164048986	Zm00001d011890_T001.1
EPT1		164286	167664	79396
Seita.6G068300	Seita.6G068300			Seita.6G068300.1.p
PPT1	AT4G23660	12327704	12331689	4-hydroxybenzoate nonaprenyltransferase
pgps2	AT3G55030	20407737	20409630	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase//CDP-alcohol phosphatidyltransferase
ASN2	AT5G65010	25986415	25989801	asparagine synthase (glutamine-hydrolyzing)
AT4G37410	AT4G37410			CYP81F4 monooxygenase
THA2	AT3G04520	1217245	1219765	threonine aldolase
FGT	NIL			flavonol 3-O-glucosyltransferase
FRS	NIL			friedelin synthase
ASP2	AT5G19550	6598019	6601821	aspartate transaminase
LaLins	NIL			linalool synthase
Glyma.15G058800	Glyma.15G058800			Glyma.15G058800
COXVc	AT2G47380	19448025	19449123	complex IV subunit 5c
pp				purine permease
NADP-ME1	AT2G19900	8598981	8602560	NADP-malic enzyme
TPS03	AT4G16740	9407790	9410899	(E)-beta-ocimene synthase / (E,E)-alpha-farnesene synthase
OMT2				noraucuparin <i>O</i>-methyltransferase
GFAT	AT3G24090	8697845	8701015	glucosamine:fructose-6-phosphate aminotransferase
OsYSL2	NIL			Fe-nicotianamine transporter
HNL				hydroxynitrile lyase
Cre07.g330250	Cre07.g330250	1688077	1689712	182959
AT2G44040	AT2G44040	18228845	18231180	dihydrodipicolinate reductase
AT5G05730	AT5G05730	1719574	1722904	anthranilate synthase
TPS23	NIL			(E)-beta-caryophyllene synthase
SFD1	AT2G40690	16981070	16983536	glycerol-3-phosphate dehydrogenase (NAD+)
FAH12	NIL			oleate 12-hydroxylase
AT2G21730	AT2G21730	9287124	9288703	oxidoreductase
FPS1	AT5G47770	19362399	19364855	geranyltranstransferase / dimethylallyltranstransferase
Val	NIL			(+)-valencene synthase
Lj1g0026479	Lj1g0026479			Lj1g0026479.1
GLN1;4	AT5G16570	5421746	5424569	glutamate-ammonia ligase
FUM2	AT5G50950	20746838	20751152	fumarase
AT3G11630	AT3G11630			peroxiredoxin
hmt	NIL			S-adenosylmethionine: halide ion methyltransferase
KcCAS	NIL			cycloartenol synthase
BnSDC	NIL			serine decarboxylase
TRE1	AT4G24040	12488193	12491207	trehalase
LTC2	NIL			germacrene A synthase
SMT2-1	NIL			sterol 24C methyltransferase / sterol 24-C methyltransferase
Glyma.02G104700	Glyma.02G104700			Glyma.02G104700
pep1	GRMZM2G083841_P01	61296279	61301686	phosphoenolpyruvate carboxylase
AK-HSDH1	AT1G31230	11158599	11163255	aspartate kinase / homoserine dehydrogenase
Asc-1	NIL			sphinganine N-acyltransferase
SS	NIL			squalene synthase
AT5G48930	AT5G48930	19853525	19855388	hydroxycinnamoyl-CoA:shikimate/quinate hydroxycinnamoyltransferase
5PTase14	AT2G31830	13539853	13544818	phosphatidylinositol/ inositol polyphosphate 5-phosphatase
VHP1	NIL			vacuolar H+-PPase
Cre02.g076350	Cre02.g076350	475162	479413	Cre02.g076350.t1.2
3&beta;HSD-2	101256443			3&beta;-hydroxysteroid/C4-decarboxylase 2
AT5G37510	AT5G37510	14914640	14917887	NADH-ubiquinone oxidoreductase 75 kDa subunit
Glyma.11G112000	Glyma.11G112000			Glyma.11G112000
CPPase	NIL			chrysanthemyl diphosphate synthase
Soltu.DM.10G015470	Soltu.DM.10G015470			Soltu.DM.10G015470.1 // Soltu.DM.10G015470.2
GDG1	AT5G13320			benzoyl-amino acid synthetase
ctmromt				matairesinol 4'-<i>O</i>-methyltransferase
AT3G56960.1	AT3G56960.1	21091936	21094864	1-phosphatidylinositol-4-phosphate 5-kinase
GSL	NIL			1,3-beta-glucan synthase
AT3G44720	AT3G44720	16282639	16284331	arogenate dehydratase////prephenate dehydratase
AT5G58220	AT5G58220			S-allantoin synthase
CYP94B3	AT3G48520			jasmonoyl-isoleucine-12-hydroxylase
APX1	AT1G07890	2437327	2439662	L-ascorbate peroxidase
psbK		11842	11982	Photosystem II reaction center protein K
ESP	NIL			epithiospecifier protein
Cre13.g586250	Cre13.g586250			Cre13.g586250.t1.2
THA1	AT1G08630	2743764	2747970	threonine aldolase//aldehyde-lyase
SerR	NIL			serine racemase
COX2	ATMG00160	40502	42628	complex IV subunit 2
CYP Ge-8	NIL			isoflavone synthase
IPT1	AT1G68460	25672273	25673845	adenylate dimethylallyltransferase
Soltu.DM.09G025360	Soltu.DM.09G025360			Soltu.DM.09G025360.1 // Soltu.DM.09G025360.2
Zm00001d017352	Zm00001d017352	193500301	193505634	Zm00001d017352_T005.1
ATCG00500.1	ATCG00500.1			acetyl-CoA carboxyltransferase beta
Cre06.g304350	Cre06.g304350	977213	979170	195712
NUOB16		302571	305073	194458
IFS1	NIL			isoflavone synthase
BANMT1	NIL			<i>N</i>-methyltransferase subunit
GPAT6	AT2G38110	15959685	15962572	glycerol-3-phosphate O-acyltransferase
SSR2				sterol side chain reductase 2
Hxk2	NIL			hexokinase
CYP735A1	AT5G38450	15410984	15414509	cytokinin trans-hydroxylase
LeFCL	NIL			5-formyltetrahydrofolate cycloligase
CPI				cyclopropyl sterol isomerase
ADK1	AT3G09820	3011995	3014949	adenosine kinase
PsbR	AT1G79040	29740909	29741902	PSII-R subunit
ACS3				1-aminocyclopropane-1-carboxylate synthase
AT4G31970	AT4G31970			indole-3-carbonyl nitrile 4-hydroxylase / CYP82C2
HPAT1	AT5G25265			hydroxyproline O-arabinosyltransferase
AT3G15820	AT3G15820			phosphatidylcholine:diacylglycerol cholinephosphotransferase
NOS	NIL			nitric oxide synthase
ASAT3-F				sucrose acyltransferase
AT2G14750	AT2G14750	6321114	6322848	APS kinase
ASA8	Cre09.g402300.t1.2	619835	621241	191828
PsbX	AT2G06520	2587726	2588355	PSII-X subunit
psbB		80277	81803	Photosystem II CP47 chlorophyll apoprotein
cs	NIL			casbene synthase
TGG4	AT1G47600	17494172	17497199	myrosinase
GA20ox	NIL			gibberellin 20-oxidase
RHM3	AT3G14790			UDP-L-rhamnose synthase
AT1G61820	AT1G61820	22838743	22842280	beta-glucosidase 46
ACS5	AT5G65800	26347972	26350038	1-aminocyclopropane-1-carboxylate synthase
CYP86B1	AT5G23190			very long chain fatty acid omega-hydroxylase
NTRB	AT4G35460	16842193	16844087	thioredoxin-disulfide reductase
AGT1	AT2G13360	5546322	5548438	serine:pyruvate transaminase [multifunctional]
CYP719A14				(S)- cheilanthifoline synthase
AT3G29430	AT3G29430	11312593	11314029	farnesyltranstransferase
PSBW		147699	149215	Photosystem II reaction center W protein
DUR3C	NIL	1106899	1110441	170417
CHS4				chalcone synthase
CYP93E1	NIL			&beta;-amyrin 24-hydroxylase
GDH	Cre06.g288700			glycolate dehydrogenase
LUP1	AT1G78970	29707955	29712737	lupeol synthase / beta-amyrin synthase
sbDES2				palmitoleic acid delta 12 desaturase
AT1G48605	AT1G48605	17973063	17973760	phosphopantothenoylcysteine decarboxylase
XYN1	AT1G58370	21688249	21691986	hydrolase, hydrolyzing O-glycosyl compounds
UGGPase	NIL			UDP-galactose/glucose pyrophosphorylase
gwH.9.7.1		1902595	1910308	38137
IMT-6	NIL			laurate hydroxylase
Soltu.DM.07G023650	Soltu.DM.07G023650			Soltu.DM.07G023650.1
ATCoaB	AT1G12350	4198411	4200800	phosphopantothenoylcysteine synthetase
SSTLH2	NIL			germacrene D synthase
AT1G50480	AT1G50480	18705619	18708606	formate-tetrahydrofolate ligase
HCT1b	NIL			shikimate O-hydroxycinnamoyl transferase
ChiC	AT4G19810	10763944	10765763	class V chitinase
Glyma.10G062300	Glyma.10G062300			Glyma.10G062300
Lj6g0027902	Lj6g0027902			Lj6g0027902.1
QHS1	NIL			beta-caryophyllene synthase
AT3G06860	AT3G06860	2161875	2166355	enoyl-CoA hydratase
ASA7	g10300.t1	1150115	1152518	192157
Zm00001d029074	Zm00001d029074	57250815	57254236	uroporphryinogen decarboxylase
AT4G34740	AT4G34740	16574582	16576676	amidophosphoribosyltransferase
AT1G07180	AT1G07180	2204319	2206933	NADH dehydrogenase
FLS	AT5G08640	2803959	2805448	flavonol synthase
AtbioF	AT5G04620	1327116	1330028	8-amino-7-oxononanoate synthase
AT4G20870	AT4G20870	11174461	11176892	sphingolipid fatty acid alpha-hydroxylase
NUOA9		91377	94559	186185
ACL5	AT5G19530	6588960	6591365	spermine synthase
AT5G63770	AT5G63770	25535867	25540847	diacylglycerol kinase
UGT84A13	NIL			gallate 1-&beta;-glucosyltransferase
GA20ox3	AT5G07200	2243554	2245340	gibberellin 20-oxidase
Cre17.g722800	Cre17.g722800	377239	382103	Cre17.g722800.t1.2
GPAT4	AT1G01610	221691	224340	glycerol-3-phosphate O-acyltransferase
SGT1	NIL			solasodine 3-O-galactosyltransferase [multifunctional]
ACT	NIL			agmatine coumaroyltransferase
AT5G04900	AT5G04900	1434775	1437331	chlorophyll b reductase
ATCG00120	ATCG00120			ATP synthase subunit alpha
Seita.9G351400	Seita.9G351400			Seita.9G351400.1.p
AT1G17745	AT1G17745	6100957	6105258	phosphoglycerate dehydrogenase
PatTpsB15	NIL			germacrene D synthase
DapA	NIL			dihydrodipicolinate synthase
csy1	NIL			capsaicin synthase
AtCoaD	AT2G18250	7946989	7948760	4'-phosphopantetheine adenylyltransferase
FSD1	AT4G25100	12884310	12886831	iron superoxide dismutase
ASP5	AT4G31990	15470767	15473862	aspartate transaminase
sr	NIL			serine racemase
NUDX2	AT5G47650	19327418	19329664	ADP-ribose diphosphatase
BIS1				3,5-dihydroxybiphenyl synthase monomer
NIT2	AT3G44300	15994298	15996522	Nit2
SQD2	AT5G01220	86584	89985	UDP-sulfoquinovose:DAG sulfoquinovosyltransferase
lox1:St:2	NIL			13/9 lipoxygenase
IP5P1	AT1G34120	12426756	12429688	type I inositol-1,4,5-trisphosphate 5-phosphatase 1
UGT79B1	NIL			cyanidin 3-<i>O</i>-glucoside 2-<i>O"</i>-xylosyltransferase
AT4G37990	AT4G37990	17855886	17857633	aryl-alcohol dehydrogenase (NADP+)
6-FEH1	NIL			fructan 6 dehydrolase
LPP&epsilon;1	AT3G50920			plastidic phosphatidic acid phosphatase
ASA2	Cre09.g415550.t1.2	1093421	1097219	192142
Lj3g0015512	Lj3g0015512			Lj3g0015512.1
AT3G26060	AT3G26060	9525970	9527611	peroxiredoxin
PSD_Fi1	NIL			dirigent protein subunit
ATPG	Cre11.g481450.t1.2	942510	943765	Cre11.g481450.t1.1
MERI5	AT4G30270	14819198	14820598	hydrolase, acting on glycosyl bonds//xyloglucan:xyloglucosyl transferase
AT4G39640	AT4G39640	18399949	18402955	glutathione gamma-glutamylcysteinyltransferase
At4g14090	NIL			anthocyanin 5-<i>O</i>-glucosyltransferase
choline monooxygenase	NIL			choline monooxygenase
iar3	AT1G51760	19203088	19205311	indole-3-acetyl-ala hydrolase
CYP736A163				3-hydroxy-5-methoxybiphenyl 4-hydroxylase
TPS1	NIL			
CesA4	AT5G44030	17731872	17736950	UDP-glucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase
UGT94D1	NIL			lignan 1,6-glucosyltransferase
AT5G10870	AT5G10870	3430547	3432463	chorismate mutase
AT5G44070	AT5G44070	17751965	17755086	glutathione gamma-glutamylcysteinyltransferase
Glyma.02G105200	Glyma.02G105200			Glyma.02G105200
ATCG00140	ATCG00140			ATP synthase subunit c
SGT3	NIL			soyasaponin III rhamnosyltransferase
psbE		94592	94840	cytochrome b-559 &alpha;-subunit
AT1G80380	AT1G80380	30222111	30224896	glycerate kinase
CYP719A2	NIL			stylopine synthase
AtNSP3	AT3G16390			nitrile-specifier protein
petA		2898	3851	ChreCp001
Glyma.07G215500	Glyma.07G215500			Glyma.07G215500
Glyma.11G134300	Glyma.11G134300			Glyma.11G134300
AT1G69940	AT1G69940	26347032	26348720	pectinesterase
AT2G02050	AT2G02050	489965	491993	NADH-ubiquinone oxidoreductase B 18 kDa subunit
IGMT1	AT1G21100	7386828	7388417	indole glucosinolate methyltransferase
AT1G79900	AT1G79900			ornithine/ornithine exchanger / arginine/citrulline exchanger
AT4G35630	AT4G35630	16904064	16905727	phosphoserine aminotransferase
AT4G23600	AT4G23600	12310629	12313222	cystathionine beta-lyase
AT1G65520	AT1G65520	24364695	24365656	delta3, delta2-enoyl-CoA isomerase
MTS1	NIL			(<i>R</i>)-linalool synthase
AT5G64570	AT5G64570	25827341	25830561	hydrolase, hydrolyzing O-glycosyl compounds
HSS	NIL			homospermidine synthase
SK1	AT2G21940	9357632	9360311	shikimate kinase
Atbcat-1	AT1G10060	3284241	3287109	branched-chain amino acid aminotransferase
Ss5MaT2	NIL			anthocyanin 5-O-glucoside-4'''-O-malonyltransferase
AT3G02020	AT3G02020	340563	343842	aspartate kinase
Glyma.07G254900	Glyma.07G254900			Glyma.07G254900
Glyma.19G187500	Glyma.19G187500			Glyma.19G187500
LCYe	NIL			lycopene epsilon-cyclase
CYP704B1	AT1G69500			stearate omega-hydroxylase [multifunctional]
LOX6	AT1G67560	25323562	25327927	lipoxygenase
AT3G16910	AT3G16910	5773061	5775507	acetate-CoA ligase
Soltu.DM.05G001210	Soltu.DM.05G001210			Soltu.DM.05G001210.1
PatTps177	NIL			patchoulol synthase
AOR	AT1G23740			alkenal/one oxidoreductase
ASA9	NIL	1210467	1212514	191034
SDH1-2	AT2G18450	8004474	8007886	succinate dehydrogenase
NADP-ME4	AT1G79750	30012219	30016282	NADP-malic enzyme
UGT73C1	AT2G36750	15417541	15419117	cis-zeatin O-beta-D-glucosyltransferase [multifunctional]
UGT708C1				2-hydroxyflavanone dibenzoylmethane tautomer glucosyltransferase
Cre14.g626950	Cre14.g626950			Cre14.g626950.t1.2
PEPCK	NIL			phosphoenolpyruvate carboxykinase
FOMT3	NIL			flavonoid 4'-<i>O</i>-methyltransferase
HYDG				Fe-hydrogenase assembly protein
pco				propanoyl-CoA oxidase monomer
MIOX1	AT1G14520	4968137	4970306	oxidoreductase
AT1G64660	AT1G64660	24032581	24034443	methionine gamma-lyase
EPSP	AT2G45300	18684385	18687146	3-phosphoshikimate 1-carboxyvinyltransferase
OsHPL2	NIL			9/13-hydroperoxide lyase
psbC		187025	188410	CP43
Glyma.19G187200	Glyma.19G187200			Glyma.19G187200
OsIRT1	NIL			iron regulated transporter
SDH3-1	AT5G09600	2979145	2980845	complex II subunit 3-1
AT4G39650	AT4G39650	18403554	18406019	glutathione gamma-glutamylcysteinyltransferase
pgps1	AT2G39290	16414317	16416201	PGPS1
UGT74G1	NIL			UDP glucosyltransferase 74G1
AtCoaE	AT2G27490	11755093	11757260	dephospho-CoA kinase
CCL4				isobutanoate/2-methylbutanoate--CoA ligase
NIA2	AT1G37130	14160968	14164379	nitrate reductase 2 subunit
FH	NIL			furcatin hydrolase
ACS8	AT4G37770	17752078	17754151	1-aminocyclopropane-1-carboxylate synthase
AOP3	AT4G03050			glucosinolate 2-oxoglutarate-dependent dioxygenase
Fab D	NIL			[acyl-carrier protein] S-malonyltransferase
StDES	NIL			9-divinyl ether synthase
ASA4	Cre13.g581600.t1.2	2715779	2719733	182740
BAM2	AT4G00490	222320	225131	beta-amylase
Glyma.02G184200	Glyma.02G184200			Glyma.02G184200
Lj1g0018041	Lj1g0018041			Lj1g0018041.1
LOG				N6-(Delta2-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase [multifunctional]
AT4G20960	AT4G20960	11211957	11213655	diaminohydroxyphosphoribosylaminopyrimidine deaminase
